seller_id,Year_Month,Monthly_Revenue,Monthly_Orders
00720abe85ba0859807595bbf045a33b,2018-08,132.0,1
00ab3eff1b5192e5f1a63bcecfee11c8,2017-03,98.0,1
00d8b143d12632bad99c0ad66ad52825,2018-03,86.0,1
00ee68308b45bc5e2660cd833c3f81cc,2017-09,240.0,2
00ee68308b45bc5e2660cd833c3f81cc,2017-10,1016.0,11
00ee68308b45bc5e2660cd833c3f81cc,2017-11,1735.0,12
00ee68308b45bc5e2660cd833c3f81cc,2017-12,1777.0,16
00ee68308b45bc5e2660cd833c3f81cc,2018-01,6534.0,42
00ee68308b45bc5e2660cd833c3f81cc,2018-02,3348.0,17
00ee68308b45bc5e2660cd833c3f81cc,2018-03,2688.0,17
00ee68308b45bc5e2660cd833c3f81cc,2018-04,2312.0,12
00ee68308b45bc5e2660cd833c3f81cc,2018-05,79.0,1
00ee68308b45bc5e2660cd833c3f81cc,2018-06,214.0,3
00ee68308b45bc5e2660cd833c3f81cc,2018-07,119.0,1
00ee68308b45bc5e2660cd833c3f81cc,2018-08,198.0,1
00fc707aaaad2d31347cf883cd2dfe10,2018-01,260.4,2
00fc707aaaad2d31347cf883cd2dfe10,2018-02,9096.6,72
00fc707aaaad2d31347cf883cd2dfe10,2018-03,1745.7,17
00fc707aaaad2d31347cf883cd2dfe10,2018-04,1195.8,9
00fc707aaaad2d31347cf883cd2dfe10,2018-05,190.0,1
00fc707aaaad2d31347cf883cd2dfe10,2018-06,196.4,2
010543a62bd80aa422851e79a3bc7540,2017-07,708.0,1
010543a62bd80aa422851e79a3bc7540,2017-08,708.0,1
010da0602d7774602cd1b3f5fb7b709e,2018-06,849.5,1
011b0eaba87386a2ae96a7d32bb531d1,2016-10,99.98,1
01266d4c46afa519678d16a8b683d325,2018-08,90.25,3
013900e863eace745d3ec7614cab5b1a,2017-03,146.0,2
013900e863eace745d3ec7614cab5b1a,2017-08,162.0,1
013900e863eace745d3ec7614cab5b1a,2017-11,120.8,2
013900e863eace745d3ec7614cab5b1a,2017-12,339.9,5
013900e863eace745d3ec7614cab5b1a,2018-01,277.5,5
013900e863eace745d3ec7614cab5b1a,2018-02,387.5,6
013900e863eace745d3ec7614cab5b1a,2018-04,186.0,2
014c0679dd340a0e338872e7ec85666a,2017-01,110.0,1
014c0679dd340a0e338872e7ec85666a,2017-02,110.0,1
014c0679dd340a0e338872e7ec85666a,2017-04,594.0,1
014c0679dd340a0e338872e7ec85666a,2017-05,594.0,1
014c0679dd340a0e338872e7ec85666a,2017-09,589.0,1
014c0679dd340a0e338872e7ec85666a,2017-11,175.0,1
014c0679dd340a0e338872e7ec85666a,2017-12,400.0,1
014c0679dd340a0e338872e7ec85666a,2018-01,435.0,1
014c0679dd340a0e338872e7ec85666a,2018-02,1320.0,1
014c0679dd340a0e338872e7ec85666a,2018-03,1693.0,3
014c0679dd340a0e338872e7ec85666a,2018-04,358.0,1
014c0679dd340a0e338872e7ec85666a,2018-07,680.0,1
014d9a685fd57276679edd00e07089e5,2017-11,69.99,1
014d9a685fd57276679edd00e07089e5,2018-01,69.99,1
014d9a685fd57276679edd00e07089e5,2018-03,217.96,4
014d9a685fd57276679edd00e07089e5,2018-04,131.97,2
014d9a685fd57276679edd00e07089e5,2018-08,239.97,3
0176f73cc1195f367f7b32db1e5b3aa8,2017-11,559.7,3
0176f73cc1195f367f7b32db1e5b3aa8,2018-01,875.4,6
0176f73cc1195f367f7b32db1e5b3aa8,2018-02,365.6,3
0176f73cc1195f367f7b32db1e5b3aa8,2018-03,292.6,4
0176f73cc1195f367f7b32db1e5b3aa8,2018-04,295.7,3
0176f73cc1195f367f7b32db1e5b3aa8,2018-05,775.4,6
0176f73cc1195f367f7b32db1e5b3aa8,2018-06,509.6,4
0176f73cc1195f367f7b32db1e5b3aa8,2018-07,779.3,7
0176f73cc1195f367f7b32db1e5b3aa8,2018-08,279.8,2
01bcc9d254a0143f0ce9791b960b2a47,2017-08,117.79,1
01bcc9d254a0143f0ce9791b960b2a47,2017-09,670.77,5
01bcc9d254a0143f0ce9791b960b2a47,2017-10,445.4,3
01bcc9d254a0143f0ce9791b960b2a47,2018-01,121.35,1
